"name","b","n","ib_chi2p","ib_emd","ib_chi2s","ib_h","ib_kl","oob_chi2p","oob_emd","oob_chi2s","oob_h","oob_kl"
"ftrain redistricting",7,1583,16.745879378024874,0.9371479895135978,0.3742570010824828,0.2507184284617272,0.44858116567695816,12.692355140389594,0.9138968559641418,0.36666620151364904,0.24775813691058135,0.42883652827088947
"redistricting",7,3158,0.13061455357652724,0.14914655409131647,0.16268485378750844,0.14810297470219738,0.07714563684964026,0.12567585969426565,0.15220914724006004,0.15275310304774903,0.14299343551330873,0.0727851413742
"ftrain redistricting",7,3158,16.65779493616712,0.9417496999999989,0.3563052991022848,0.24357449263940278,0.4210256120258088,12.586708442887739,0.9173950524302935,0.34763018152109393,0.24030642443894318,0.40204076519336
"redistricting",7,6300,0.12500509243445565,0.14411377891811744,0.1531519208350741,0.14303266506115045,0.07279718043883965,0.12022061602706742,0.15312993618675283,0.14400600953093895,0.13821211394200092,0.06876761313375965
"ftrain redistricting",7,6300,20.693129691920497,0.9545566107743392,0.3521953542624015,0.2435589412318064,0.4333573035079751,15.56401291345206,0.9305591198206797,0.3429206900990157,0.24007707732044786,0.4131887227908763
"redistricting",7,12566,0.1202880708755171,0.1331637532768144,0.14553505710219578,0.1389915289616645,0.06931806071214672,0.11583420755347573,0.14193018331980145,0.13695015347975056,0.1343850086875327,0.06555680854222973
"ftrain redistricting",7,12566,17.632247593876343,0.9281388134161191,0.32431752673806313,0.23329498215779113,0.39410380165537356,13.294841899922053,0.9041413224624596,0.31565543048470435,0.2299820112832523,0.3761645472722895
"redistricting",7,25066,0.11496304520368611,0.12880521476658932,0.13696971990914,0.13440425686731772,0.06542829182596432,0.11084711825327243,0.13700366545419637,0.12899025823401344,0.13003446151557235,0.061952342105736635
"ftrain redistricting",7,25066,16.844617219793776,0.9119777150322271,0.31295511281575056,0.22956322041138874,0.38297297379904854,12.71349132260466,0.8879802240785676,0.3048361149356246,0.22637428052931974,0.3657123573163239
"redistricting",7,50000,0.1106987947982763,0.12803839821079618,0.1291550820907178,0.13010183706709286,0.06198466119711687,0.10676911555264425,0.1374573711383278,0.12173407149417559,0.12597295687829466,0.05875438920198614
