"name","configfile","b","k","ib_chi2p","ib_emd","ib_chi2s","ib_h","ib_kl","oob_chi2p","oob_emd","oob_chi2s","oob_h","oob_kl"
"strong smearing","conf/data/gaussian-high.yml",17,14,0.05796077846430017,0.11596816996070293,0.05435867390294889,0.0828734875496606,0.027754338166634557,0.054287279026632954,0.12273439203378439,0.052439317875788136,0.0813113744682484,0.026514702955591784
"strong smearing","conf/data/gaussian-high.yml",17,15,0.06392437792988148,0.12155710215311663,0.05999778935482829,0.08711077428559089,0.03062382019344366,0.05989545529202315,0.12777308077436472,0.0579108304031638,0.08548971743686151,0.029271198432936026
"strong smearing","conf/data/gaussian-high.yml",17,16,0.07011685063001584,0.12696886995687193,0.0658464010590302,0.09130781400762158,0.033600910636504874,0.06572267831046845,0.13288894277809343,0.06359185386882725,0.08963141686400285,0.03213391648238434
"strong smearing","conf/data/gaussian-high.yml",17,17,0.07652485447451103,0.13221851495065437,0.07189337500552241,0.09546356096131677,0.03667973213265226,0.07175829153184307,0.13789398114947507,0.06947314029556581,0.0937361424034984,0.03509805463932703
"strong smearing","conf/data/gaussian-high.yml",17,18,0.0831367604403009,0.13732722467291356,0.07812960640783029,0.09957838122585091,0.039855390246347704,0.0779924951088854,0.1428008205367333,0.07554680822458681,0.09780447084179575,0.0381594291113149
"strong smearing","conf/data/gaussian-high.yml",17,19,0.08993723786860201,0.14230628735760925,0.08454232207402096,0.10365031604510572,0.043121163127089336,0.08441130650043228,0.14761394996916752,0.08180089113756471,0.10183433729676065,0.04131181129176413
"strong smearing","conf/data/gaussian-high.yml",17,20,0.09691293443275845,0.14715910974767665,0.09112031922653685,0.10767856240883884,0.04647119518624615,0.09100246684202455,0.15233558815807105,0.08822471335879076,0.10582471693436157,0.044549704659599294
"strong smearing","conf/data/gaussian-high.yml",18,0,38.42628155588056,1.7028466666666655,0.8233565481490471,0.37200257474190535,0.9773997192338197,27.14803010899984,1.6819848420276216,0.7979298156888064,0.3624109045508784,0.8824904286160683
"strong smearing","conf/data/gaussian-high.yml",18,1,0.5218896262466585,0.45053898433579675,0.1663618733279858,0.1514411226019101,0.11331543322793027,0.3933490270986005,0.43604438859869854,0.15190867346219594,0.14344232853090183,0.09836057058911188
"strong smearing","conf/data/gaussian-high.yml",18,2,0.0918336998875681,0.23084183748467457,0.058361965104439674,0.08705563272592409,0.03386552190064604,0.07186249410091743,0.2180337921615918,0.05074077047250781,0.0807470299441313,0.028468637162699716
"strong smearing","conf/data/gaussian-high.yml",18,3,0.036263738567645365,0.13606785555717046,0.02758063814098506,0.05927156084963495,0.015157644795757045,0.028732026596040308,0.1367882224449692,0.023493846030107273,0.0545243590711981,0.012588955619492038
"strong smearing","conf/data/gaussian-high.yml",18,4,0.022395437040276987,0.09482293071291113,0.01850103606571002,0.048360273864125634,0.009879877631861069,0.018404899590518987,0.10607043047076908,0.01613518914372776,0.045072789094062156,0.008437310795906993
"strong smearing","conf/data/gaussian-high.yml",18,5,0.019387903751248003,0.08472301141569706,0.01688658876246642,0.046120999523413635,0.008849998409569414,0.01672087300359554,0.0941690347450187,0.015297285591338718,0.04384590626633582,0.007881252016401857
"strong smearing","conf/data/gaussian-high.yml",18,6,0.020188947051110864,0.088967156704403,0.018157171759234286,0.04778447625255797,0.009409704874041854,0.018013394475556277,0.0977601630173612,0.0168419178997858,0.045987262803017355,0.008612952096517567
"strong smearing","conf/data/gaussian-high.yml",18,7,0.0225903422773953,0.09350110839294169,0.020684814219412973,0.050983499218615405,0.010653330900608974,0.020527414155919094,0.10238377670784754,0.01937153175831292,0.04931146238369324,0.009875673419158838
"strong smearing","conf/data/gaussian-high.yml",18,8,0.02579244909324992,0.09816534833991289,0.023853976015226565,0.054744079377962926,0.012243455830738086,0.023652370464259487,0.10920663031697225,0.022394760863021966,0.053017927215837826,0.01140428804124897
"strong smearing","conf/data/gaussian-high.yml",18,9,0.029477789288679657,0.10349446680116181,0.027420686564710573,0.058696520863218034,0.014046192110893405,0.027161850164824825,0.11577317716195505,0.02573615458767775,0.056838440548222575,0.013102754123624903
"strong smearing","conf/data/gaussian-high.yml",18,10,0.03351035592264699,0.10901719446118693,0.03128391718304786,0.06270303360295444,0.016005365311884134,0.030967214623275747,0.12151908966882331,0.02933274707806491,0.060686548207182965,0.014935400857374558
"strong smearing","conf/data/gaussian-high.yml",18,11,0.0378269600619822,0.11425525373291665,0.03539930726717968,0.06671218756996393,0.01809576338026481,0.03503125343839172,0.12670656368716984,0.03316158218870014,0.06453532798959487,0.016888429623731
"strong smearing","conf/data/gaussian-high.yml",18,12,0.0423959267885287,0.11927467314950069,0.039746130058100716,0.07070543679334415,0.02030527767178782,0.039336752221479386,0.1315033392034078,0.03721393550659798,0.06837710096239046,0.018956104110857745
"strong smearing","conf/data/gaussian-high.yml",18,13,0.04719734804478975,0.1241176317617407,0.044311498600209984,0.07467494978439743,0.02262636300138263,0.043871891824463174,0.13601580715737757,0.04148362218881216,0.07220811767506687,0.021134430200198194
"strong smearing","conf/data/gaussian-high.yml",18,14,0.052216478736777094,0.12881182281698933,0.049085647220944675,0.07861705397611057,0.025053373261650053,0.04862638456955556,0.14031197486868613,0.04596447493483171,0.07602545546019,0.02341967712004007
"strong smearing","conf/data/gaussian-high.yml",18,15,0.05744155930270913,0.13342164007309146,0.05406033332683332,0.08252999753928461,0.027581668254621137,0.05359096185821889,0.14443923692427763,0.05065031561147795,0.07982679879127015,0.02580828463064827
"strong smearing","conf/data/gaussian-high.yml",18,16,0.06286103776629469,0.1389150853801165,0.05922680505898193,0.08641198787683663,0.03020647776917135,0.05875537924165408,0.14845671193581791,0.055533462111962736,0.08360914518995274,0.02829603537707212
"strong smearing","conf/data/gaussian-high.yml",18,17,0.06846478940955673,0.14430517198967543,0.06457730759507103,0.09026226319943653,0.03292360782099028,0.06411010240336223,0.15274767976024625,0.06060664864486471,0.08737034977053193,0.03087897661261003
"strong smearing","conf/data/gaussian-high.yml",18,18,0.07424094397027897,0.14959280044425935,0.07010212240652773,0.09407886043037106,0.03572792610346091,0.069643593839838,0.1570137988437583,0.06586050802397214,0.09110717861550502,0.03355212984167666
"strong smearing","conf/data/gaussian-high.yml",18,19,0.08018009597631495,0.15478225566104598,0.0757936841610917,0.0978615130811085,0.038615438016898526,0.0753464493022288,0.16119325533126533,0.07128752051180731,0.09481815268651286,0.03631149696073677
"strong smearing","conf/data/gaussian-high.yml",18,20,0.08627026507837741,0.1598730943099558,0.08164188912436206,0.10160839530373494,0.041580881362241334,0.08120663445909537,0.16528644794353575,0.07687761794226962,0.098500379285535,0.03915180111760525
"strong smearing","conf/data/gaussian-high.yml",19,0,26.85445032394592,1.7075466666666659,0.81458910897406,0.36842120525032446,0.9269524727306513,2.2675816066706246e6,1.6673194799348605,0.8044601427161565,0.3686047454830437,1.4690452356222878
"strong smearing","conf/data/gaussian-high.yml",19,1,0.4840617992453274,0.4623721565769727,0.17028789254325355,0.15298167248564593,0.11449853285308138,12875.08275325228,0.4636400477357932,0.16275522288441438,0.15058680950159523,0.14857817743089308
"strong smearing","conf/data/gaussian-high.yml",19,2,0.09435070884058439,0.24470184727475272,0.06101131057482414,0.0889825413694963,0.03520807941541608,605.1756789347994,0.25325945770155095,0.0559878038573315,0.08584338940739779,0.04017949235732173
"strong smearing","conf/data/gaussian-high.yml",19,3,0.03630291918090596,0.14754734789269777,0.027687738179477738,0.05939344215603574,0.015191177170377062,99.5231948290072,0.15610495831949592,0.02441386644141562,0.05626855210850786,0.016434013564323818
"strong smearing","conf/data/gaussian-high.yml",19,4,0.019536469702587347,0.0968580270694956,0.015944691388326996,0.04490550230980048,0.008551985340083407,34.509528861526185,0.11126468478547437,0.013844662245750686,0.04230461118240962,0.009172792918895216
